time,temperature,humidity,light
12:32:06,26.79,36.0,826
12:36:19,27.39,35.0,831
12:38:11,27.89,33.0,826
12:41:44,28.2,33.0,822
12:42:46,28.1,33.0,829
12:45:18,29.0,31.0,825
12:46:24,26.0,48.0,783
12:46:54,26.2,48.0,780
12:47:25,26.39,47.0,780
12:47:36,26.39,47.0,780
12:48:17,26.6,46.0,780
